id,name,skill,busterbuf,artsbuf,quickbuf,npgainbuf,atkbuf,dmgplus,npplus,starbuf,npbuf,criticalbuf,againstbuf,npextramul,poison
0,없음,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,알트리아 캐스터,0,0,0,0,10,10,0,0,0,0,0,0,0,0
1,알트리아 캐스터,1,0,0,0,0,20,0,30,0,0,0,0,0,0
1,알트리아 캐스터,2,0,0,0,30,0,0,20,0,0,0,0,0,0
1,알트리아 캐스터,3,0,50,0,0,0,0,0,0,0,0,50,0,0
2,타마모노마에,0,0,15,0,0,0,0,0,0,0,0,0,0,0
2,타마모노마에,1,0,0,0,0,0,0,0,0,30,0,0,0,0
2,타마모노마에,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,타마모노마에,3,0,50,0,0,0,0,0,0,0,0,0,0,0
3,파라켈수스,0,0,10,0,0,0,0,0,0,10,0,0,0,0
3,파라켈수스,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,파라켈수스,2,0,20,0,0,0,0,0,0,0,0,0,0,0
3,파라켈수스,3,0,0,0,50,0,0,0,0,0,0,0,0,0
4,난릉왕,0,0,10,0,10,0,0,0,0,0,0,0,0,0
4,난릉왕,1,0,0,0,0,20,0,0,0,0,0,0,0,0
4,난릉왕,2,0,0,0,0,0,0,20,0,0,0,0,0,0
4,난릉왕,3,0,20,0,0,0,0,0,0,0,0,0,0,0
5,스카사하=스카디,0,0,0,10,0,0,0,0,0,0,15,0,0,0
5,스카사하=스카디,1,0,0,50,0,0,0,0,0,0,0,0,0,0
5,스카사하=스카디,2,0,0,0,0,30,0,0,0,0,0,0,0,0
5,스카사하=스카디,3,0,0,0,0,0,0,50,0,0,0,0,0,0
6,멀린,0,10,0,0,0,0,0,0,0,0,15,0,0,0
6,멀린,1,0,0,0,0,20,0,20,0,0,0,0,0,0
6,멀린,2,0,0,0,0,0,0,0,50,0,0,0,0,0
6,멀린,3,50,0,0,0,0,0,0,0,0,100,0,0,0
7,사마의 [라이네스],0,0,15,0,0,0,0,0,0,0,0,0,0,0
7,사마의 [라이네스],1,0,0,0,0,0,0,10,0,0,0,0,0,0
7,사마의 [라이네스],2,0,0,0,0,40,0,20,0,0,0,0,0,0
7,사마의 [라이네스],3,0,0,0,0,0,0,20,0,0,0,0,0,0
8,제갈공명,0,15,0,0,0,0,0,0,0,0,0,0,0,0
8,제갈공명,1,0,0,0,0,0,0,30,0,0,50,0,0,0
8,제갈공명,2,0,0,0,0,0,0,10,0,0,0,0,0,0
8,제갈공명,3,0,0,0,0,30,500,10,0,0,0,0,0,0
9,네로 클라우디스 [브라이드],0,0,15,0,0,0,0,0,0,0,0,0,0,0
9,네로 클라우디스 [브라이드],1,0,0,0,45,0,0,30,0,0,0,0,0,0
9,네로 클라우디스 [브라이드],2,0,0,0,0,40,0,0,50,0,0,0,0,0
9,네로 클라우디스 [브라이드],3,0,0,0,0,0,0,0,0,0,0,0,0,0
